,Name,Rating,Genre,Release date,Runtime,Director,Link
0,Uncharted,72.0,"Action, Adventure",        02/18/2022 (US)      ,              1h 56m          ,Ruben Fleischer,https://www.themoviedb.org/movie/335787
1,The Batman,78.0,"Crime, Mystery, Thriller",        03/04/2022 (IN)      ,              2h 56m          ,Matt Reeves,https://www.themoviedb.org/movie/414906
2,365 Days: This Day,59.0,"Romance, Drama",        04/27/2022 (US)      ,              1h 51m          ,Barbara Bialowas,https://www.themoviedb.org/movie/829557
3,Spider-Man: No Way Home,81.0,"Action, Adventure, Science Fiction",        12/17/2021 (IN)      ,              2h 28m          ,Jon Watts,https://www.themoviedb.org/movie/634649
4,Sonic the Hedgehog 2,76.0,"Action, Science Fiction, Comedy, Family",        04/08/2022 (US)      ,              2h 2m          ,Jeff Fowler,https://www.themoviedb.org/movie/675353
5,Turning Red,74.0,"Animation, Family, Comedy, Fantasy",        03/10/2022 (CZ)      ,              1h 40m          ,Domee Shi,https://www.themoviedb.org/movie/508947
6,The Outfit,71.0,"Drama, Thriller, Crime",        03/18/2022 (US)      ,              1h 45m          ,Graham Moore,https://www.themoviedb.org/movie/799876
7,Virus:32,70,Horror,        04/21/2022 (AR)      ,              1h 30m          ,Gustavo Hernández,https://www.themoviedb.org/movie/893370
8,Moonfall,65.0,"Action, Adventure, Science Fiction",        02/04/2022 (US)      ,              2h 10m          ,Roland Emmerich,https://www.themoviedb.org/movie/406759
9,Yaksha: Ruthless Operations,62.0,Action,        04/08/2022 (KR)      ,              2h 5m          ,Na Hyun,https://www.themoviedb.org/movie/606402
10,All the Old Knives,60,"Thriller, Action",        04/08/2022 (GB)      ,              1h 42m          ,Janus Metz Pedersen,https://www.themoviedb.org/movie/294793
11,Encanto,77.0,"Animation, Comedy, Family, Fantasy",        11/24/2021 (US)      ,              1h 42m          ,Byron Howard,https://www.themoviedb.org/movie/568124
12,Blacklight,62.0,"Action, Thriller",        02/10/2022 (AU)      ,              1h 44m          ,Mark Williams,https://www.themoviedb.org/movie/823625
13,Ambulance,69.0,"Action, Thriller, Crime",        04/08/2022 (US)      ,              2h 16m          ,Michael Bay,https://www.themoviedb.org/movie/763285
14,War of the Worlds: Annihilation,56.0,"Science Fiction, Action",        12/22/2021 (US)      ,              1h 53m          ,Maximilian Elfeldt,https://www.themoviedb.org/movie/919689
15,Doctor Strange in the Multiverse of Madness,72.0,"Fantasy, Action, Adventure",        05/06/2022 (US)      ,              2h 6m          ,Sam Raimi,https://www.themoviedb.org/movie/453395
16,Pil's Adventures,67.0,"Adventure, Animation, Comedy, Family, Fantasy",        08/11/2021 (FR)      ,              1h 29m          ,Julien Fournet,https://www.themoviedb.org/movie/676705
17,The Grandmother,60,Horror,        01/28/2022 (ES)      ,              1h 40m          ,Paco Plaza,https://www.themoviedb.org/movie/661791
18,No Exit,67.0,"Horror, Thriller",        02/25/2022 (US)      ,              1h 36m          ,Damien Power,https://www.themoviedb.org/movie/833425
19,Hotel Transylvania: Transformania,71.0,"Animation, Family, Fantasy, Comedy, Adventure",        02/25/2022 (US)      ,              1h 27m          ,Jennifer Kluska,https://www.themoviedb.org/movie/585083
20,Venom: Let There Be Carnage,70,"Science Fiction, Action, Adventure",        10/01/2021 (US)      ,              1h 37m          ,Andy Serkis,https://www.themoviedb.org/movie/580489
21,Black Crab,63.0,"Action, Thriller",        03/18/2022 (US)      ,              1h 49m          ,Adam Berg,https://www.themoviedb.org/movie/760868
22,The Adam Project,70,"Action, Adventure, Comedy, Science Fiction",        03/11/2022 (US)      ,              1h 46m          ,Shawn Levy,https://www.themoviedb.org/movie/696806
23,The Ice Age Adventures of Buck Wild,69.0,"Animation, Comedy, Adventure, Family",        01/28/2022 (US)      ,              1h 22m          ,John C. Donkin,https://www.themoviedb.org/movie/774825
24,Gold,64.0,"Thriller, Action",        01/13/2022 (AU)      ,              1h 37m          ,Anthony Hayes,https://www.themoviedb.org/movie/760926
25,Fantastic Beasts: The Secrets of Dumbledore,68.0,"Fantasy, Adventure",        04/08/2022 (GB)      ,              2h 22m          ,David Yates,https://www.themoviedb.org/movie/338953
26,Bull Shark,53.0,Horror,        02/05/2022 (US)      ,              1h 20m          ,Brett Bentman,https://www.themoviedb.org/movie/938596
27,My Hero Academia: World Heroes' Mission,73.0,"Animation, Action, Fantasy, Adventure",        08/06/2021 (JP)      ,              1h 45m          ,Kenji Nagasaki,https://www.themoviedb.org/movie/768744
28,Eternals,71.0,"Science Fiction, Action",        11/05/2021 (US)      ,              2h 36m          ,Chloé Zhao,https://www.themoviedb.org/movie/524434
29,Sing 2,81.0,"Animation, Comedy, Family, Music",        12/22/2021 (US)      ,              1h 50m          ,Garth Jennings,https://www.themoviedb.org/movie/438695
30,Restless,59.0,"Action, Thriller, Crime",        02/25/2022 (FR)      ,              1h 35m          ,Régis Blondeau,https://www.themoviedb.org/movie/928381
31,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,84.0,"Animation, Action, Adventure, Fantasy",        08/13/2021 (IN)      ,              1h 57m          ,Haruo Sotozaki,https://www.themoviedb.org/movie/635302
32,The In Between,70,"Romance, Science Fiction, Drama",        02/11/2022 (US)      ,              1h 56m          ,Arie Posin,https://www.themoviedb.org/movie/818750
33,Sonic the Hedgehog,74.0,"Action, Science Fiction, Comedy, Family",        02/14/2020 (US)      ,              1h 39m          ,Jeff Fowler,https://www.themoviedb.org/movie/454626
34,The Requin,48.0,Thriller,        01/28/2022 (US)      ,              1h 29m          ,Lê Văn Kiệt,https://www.themoviedb.org/movie/803114
35,The Bad Guys,73.0,"Animation, Comedy, Action, Family, Crime",        04/22/2022 (US)      ,              1h 40m          ,Pierre Perifel,https://www.themoviedb.org/movie/629542
36,Last Man Down,63.0,"Action, Thriller",        10/19/2021 (US)      ,              1h 27m          ,Fansu Njie,https://www.themoviedb.org/movie/860623
37,Morbius,59.0,"Action, Science Fiction, Fantasy",        04/01/2022 (IN)      ,              1h 44m          ,Daniel Espinosa,https://www.themoviedb.org/movie/526896
